comment_id,text,likeCount,publishedAt,authorDisplayName
UgzDulYtJZ_w-ZU5O4R4AaABAg,Good night sir PM modi ji ❤❤❤❤❤❤❤❤❤ malik aapko koti koti naman malik me sakaraatmak hai aap par Devin univars per pura vishvas hai koi sevarth nahi hai malik aapko bahut bahut badhai shubhkamnaye malik aapko jo bhi acha lagta hai me tyar hai anushasan ke liye aur aapke sath hai malik aapko bahut bahut badhai shubhkamnaye jai hind radhe radhe jai shree krishna jai shree shyam jai shree ram ram ram ram ram ram ram ram ram,0,2025-06-13T16:13:27Z,@ShailendraKumar-g9m
Ugx_LRhyLq6lwMhTYvh4AaABAg,"THERE IS NO RELIGEON CALLED 👉HINDU👈

BRAMHINISM IS 👉OF THE BRAMHINS👈 👉BY THE BRAMHINS👈 AND 👉FOR THE BRAMHINS👈

GODS CAN BE ANY AND MANY BUT POOJARI OUGHT TO BE

👉ONLY BRAMHINS👈",0,2025-06-12T17:54:29Z,@Briganjo
Ugy38A8VJPVoI7GBk354AaABAg,"*Kalpana se bhi badi saza milegi*

Masur Ajgar ki family uda di 🔥",1,2025-06-11T22:25:47Z,@Jai_Maa_Bharti
UgyyzIU_tk97blpCdYF4AaABAg,Har har Modi Ghar ghar Yogi ji,0,2025-06-09T17:12:35Z,@vinodyadav-ls6gh
Ugx8IqpFp8MaMYXWrsB4AaABAg,Good morning sir PM modi ji ❤❤❤❤❤❤❤❤❤ jai shree ram ram ram ram ram ram ram ram ram,0,2025-06-09T00:21:37Z,@ShailendraKumar-g9m
Ugw11nQRrnADF8QB7bh4AaABAg,Stupid modi,0,2025-06-06T18:03:15Z,@hery1251
Ugz7ddw7m1I6axsU8LV4AaABAg,Good night sir PM modi ji ❤❤❤❤❤❤❤❤❤ jai shree ram ram ram ram ram ram ram ram ram,0,2025-06-05T17:11:02Z,@ShailendraKumar-g9m
UgxSL2MvqVOhGv8HYNl4AaABAg,Good morning sir PM modi ji ❤❤❤❤❤❤❤❤❤ jai shree ram ram ram ram ram ram ram ram ram,0,2025-06-04T23:48:03Z,@ShailendraKumar-g9m
UgyTSBzPQLYQZL9d2614AaABAg,Good night sir PM modi ji ❤❤❤❤❤❤❤❤❤ malik aapko koti koti naman sir please aapko bahut bahut badhai shubhkamnaye jai hind sir me sakaraatmak hai aap par Devin univars per pura vishvas hai malik aapko jo bhi acha lagta hai me tyar hai anushasan ke liye aur aapke sath hai sir me aapke sath hai malik aapko bahut bahut badhai shubhkamnaye jai hind sir please mujhe koi galti ho mujhe maaf kar Dena malik me viksit india ke kalpna karta hu aur aapke sath hai malik aapko bahut bahut badhai shubhkamnaye jai hind radhe radhe jai shree krishna jai shree shyam jai shree ram ram ram ram ram ram ram ram ram,0,2025-06-04T16:10:56Z,@ShailendraKumar-g9m
UgxsyCTwp5LvjO3qXod4AaABAg,1 woh pm the jo 26/11 ke baad rote the. 1 humare mahan modi ji he jo dushman ka sina uske ghar me ghus ke cheer dete he.Jai jawan jai kisan jai modi,3,2025-05-31T14:49:35Z,@Mukesh_shkumar_11_11
Ugxd36EksWUCRO5BbWB4AaABAg,"War against worldwide terrorism Sir.
Cooperation of the Nations of the world.
Cooperation of UN member states.
Possible zero terrorism on the Earth sir.",0,2025-05-31T09:08:14Z,@premkumarnayak1162
Ugy3G3v9Xluhj-dLJi54AaABAg,🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🌺🌺🌼🌺🌺🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳 Bharatvarsh ki Jay,1,2025-05-29T18:22:29Z,@Jayshreeram-r6q7k
UgwF9QpgDFLEn9LlOX94AaABAg,Goomutar pinywalaaa,0,2025-05-29T15:05:00Z,@AbdurRehmanKhan-tv2lp
UgxMtcJ7JCAQzzeS3MN4AaABAg,Modi ji modil bad karvao,0,2025-05-28T13:52:40Z,@CdParmar-u5y
Ugxk3FBSN6j884EIbPh4AaABAg,🧠🗣️💥👩‍👩‍👦👈🏼👀🤦🏿🤳🏿🤷🏼🧎🏿👩‍👩‍👧‍👦👨‍👩‍👦👩‍👩‍👧👩‍👩‍👧👨‍👩‍👧‍👧👨‍👩‍👦‍👦👨‍👩‍👧‍👦👨‍👩‍👧‍👦👨‍👩‍👧‍👦👨‍❤️‍💋‍👨🤷🏻,0,2025-05-27T23:29:24Z,@AminUllah-h1u
UgycbilZ_7HntPwrxWl4AaABAg,😮😢🎉😂❤❤❤❤❤❤❤,0,2025-05-26T13:27:22Z,@MantuMandala-q1d
UgwxmgMTYiQcLjEgQ2l4AaABAg,P.M.Modi ji zindabad ❤️ 🙏,0,2025-05-26T00:33:39Z,@miraladdinhashmi2307
UgzYT1_2rxOnYDeHISt4AaABAg,💁🤼🤼🤼🤼💁🤼🤼🤼🤼🤼💁💁🤼🙋🇮🇳🙋😵💔😵,0,2025-05-25T21:50:56Z,@BismillahKhan-d3k5o
UgyAes9PO-ytOSzIknN4AaABAg,Hhhhhhh 😂😂😂😂😂,0,2025-05-25T19:44:55Z,@Zaid-h7w
UgwtnOr7PhWnUsViXS94AaABAg,Sab se bara jhutha modi,0,2025-05-25T07:32:22Z,@KashifmugalKashifmugal
Ugz34ky8UqBabLd5LiV4AaABAg,"Sir,
Godra sir almost 2000/- బుర్నిన్ and. cow more than human 😂

Why visa stoping?

Other రిలీజియన్స్ not involed in waqf బోర్డు.

సారీ sir..

గవర్నమెంట్ వెన్ will starting?",0,2025-05-21T03:40:45Z,@MunvarAli-c7c
UgwhmzV_yKb6Fn6wxz54AaABAg,Modi ji we love you❤ you are our father 🎉 I WISH U GOOD HEALTH N IMMENSE STRENGTH 🎉❤,0,2025-05-20T21:55:57Z,@sweetalkulkarni284
Ugz29mDWJ4KNREFpZjF4AaABAg,Tum resignation de do.,0,2025-05-20T13:27:45Z,@aparnashakti6309
UgxbLC2B-clYIlEOCfp4AaABAg,Mnafee❤,0,2025-05-19T21:59:37Z,@AmirHussain-d6s
UgywiGpAk7Htyg6ZV9F4AaABAg,PakArmy zindabad ❤ Pakistan zindabad ❤,0,2025-05-19T11:47:03Z,@CaddSaiy
UgwC7VZCjGOyX8oangJ4AaABAg,Bhagirath jhooth bole modi kutta 0:44,0,2025-05-19T11:46:09Z,@CaddSaiy
UgwoW37fmwsGUfZH7qV4AaABAg,english isliye bolla taki pak samaj nah paaya aur jab tak samjega tab tak taata byebye good bye gaya,0,2025-05-18T13:03:13Z,@DivyanshJain-t9p
Ugwv3JRLC4y3EepLTjN4AaABAg,❤❤❤❤❤❤❤❤👍👍👍👍👍👍👍👍👍,0,2025-05-17T18:25:51Z,@JaseemAkhtar-g9s
UgwqRI-PGX1m5NW_CS94AaABAg,Good,0,2025-05-17T18:25:34Z,@JaseemAkhtar-g9s
Ugx-Yb_k-k1YuN5Jped4AaABAg,"Modiji
You need to regulate bollywood 

And hindi shows especially hindi serials

They depict hindu families as evil and cruel
Tilak wearing peolle as evil or clowns 

This is subtle deviation to brainwash indians",0,2025-05-17T15:31:48Z,@Shivavishnubrahma
UgxEuf9ngMk5U9nind14AaABAg,He blamed Pakistan for This terrorist attack without any proof and evidence…. He shows thats he is against Muslims … AS a pakistan I highly condemn Pehalgam attack .. Allah un logo k ghar walo k saber dy jo pehalgam mai mary gay or Jo Pakistan mai India k terror missile sy mary gay,0,2025-05-17T08:51:59Z,@aminaali8934
UgyjGVg-_y0-0TEe_514AaABAg,Modiji❤❤❤,0,2025-05-17T05:24:52Z,@madathileruchi8110
Ugz_Gtz8XPf4lvMFRWN4AaABAg,Buy a toung scraper bruh,0,2025-05-16T21:03:59Z,@Giannis560
Ugy-XPkEfJPQLL4bwP54AaABAg,Barking dogs never bite...Pakistan Zinda bad,0,2025-05-16T20:47:32Z,@mohammadnazarsaeed6630
UgwHFFw5kD39vJTRKGd4AaABAg,प्रधानमंत्री जिंदाबाद प्रधानमंत्री नरेंद्र मोदी हिंदुस्तान जिंदाबाद,0,2025-05-16T16:48:36Z,@Sadanand-m6i
UgyO-a-OCeKg1QUFA214AaABAg,😅😅😮😮😢,0,2025-05-16T06:33:21Z,@Murari-o4y
Ugzb-mZq0Kzi6PnDltl4AaABAg,thanks pm modi ji,0,2025-05-15T10:06:53Z,@deepaligoel4378
